,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
40,39,2001,2001-11-04,7,8,24.096,CLE,@,CHI,L 21-27,*,14,23,60.87,211,2,1,101.9,3,20,9.17,8.96,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
41,40,2001,2001-11-11,8,9,24.103,CLE,,PIT,L 12-15,*,18,33,54.55,160,1,0,77.8,7,47,4.85,5.45,3,15,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,2,0,0,2,0,0,,Tim Couch,CoucTi00
42,41,2001,2001-11-18,9,10,24.110,CLE,@,BAL,W 27-17,*,19,30,63.33,144,0,3,35.3,1,7,4.80,0.30,2,-2,-1.00,0,1,1,-10,-10.00,0,100.0%,-10.00,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
43,42,2001,2001-11-25,10,11,24.117,CLE,,CIN,W 18-0,*,16,27,59.26,189,1,2,62.1,3,18,7.00,4.41,5,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,-4,0,,Tim Couch,CoucTi00
44,43,2001,2001-12-02,11,12,24.124,CLE,,TEN,L 15-31,*,17,26,65.38,110,1,1,71.0,2,7,4.23,3.27,2,18,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
45,44,2001,2001-12-09,12,13,24.131,CLE,@,NWE,L 16-27,*,20,39,51.28,244,0,3,38.8,3,17,6.26,2.79,1,9,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
46,45,2001,2001-12-16,13,14,24.138,CLE,,JAX,L 10-15,*,21,30,70.00,184,0,1,72.1,3,11,6.13,4.63,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Tim Couch,CoucTi00
47,46,2001,2001-12-23,14,15,24.145,CLE,@,GNB,L 7-30,*,22,33,66.67,203,1,3,55.5,4,34,6.15,2.67,5,37,7.40,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Tim Couch,CoucTi00
48,47,2001,2001-12-30,15,16,24.152,CLE,@,TEN,W 41-38,*,20,27,74.07,336,3,1,137.3,3,14,12.44,13.00,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
49,48,2001,2002-01-06,16,17,24.159,CLE,@,PIT,L 7-28,*,13,26,50.00,150,0,2,35.7,4,45,5.77,2.31,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Tim Couch,CoucTi00
51,49,2002,2002-09-08,1,1,,CLE,,KAN,L 39-40,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tim Couch,CoucTi00
52,50,2002,2002-09-15,2,2,,CLE,,CIN,W 20-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tim Couch,CoucTi00
53,51,2002,2002-09-22,3,3,25.053,CLE,@,TEN,W 31-28,*,36,50,72.00,326,3,1,100.9,3,15,6.52,6.82,3,23,7.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
54,52,2002,2002-09-29,4,4,25.060,CLE,@,PIT,L 13-16,*,16,29,55.17,144,0,2,40.0,3,22,4.97,1.86,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
55,53,2002,2002-10-06,5,5,25.067,CLE,,BAL,L 21-26,*,16,26,61.54,216,1,2,68.8,2,25,8.31,5.62,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,0,0,,Tim Couch,CoucTi00
56,54,2002,2002-10-13,6,6,25.074,CLE,@,TAM,L 3-17,*,20,40,50.00,151,0,1,49.1,2,17,3.78,2.65,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
57,55,2002,2002-10-20,7,7,25.081,CLE,,HOU,W 34-17,*,21,31,67.74,148,1,0,89.2,1,7,4.77,5.42,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,,0,,0,0,0,0,,Tim Couch,CoucTi00
58,56,2002,2002-10-27,8,8,25.088,CLE,@,NYJ,W 24-21,*,32,48,66.67,294,2,0,97.0,2,15,6.13,6.96,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,-5,0,,Tim Couch,CoucTi00
59,57,2002,2002-11-03,9,9,25.095,CLE,,PIT,L 20-23,*,15,24,62.50,181,2,2,78.6,4,24,7.54,5.46,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Tim Couch,CoucTi00
60,58,2002,2002-11-17,10,11,25.109,CLE,@,CIN,W 27-20,*,22,35,62.86,242,3,1,99.9,0,0,6.91,7.34,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
61,59,2002,2002-11-24,11,12,25.116,CLE,@,NOR,W 24-15,*,12,21,57.14,182,1,2,62.1,1,6,8.67,5.33,5,3,0.60,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
62,60,2002,2002-12-01,12,13,25.123,CLE,,CAR,L 6-13,*,12,27,44.44,130,0,3,19.6,3,12,4.81,-0.19,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Tim Couch,CoucTi00
63,61,2002,2002-12-08,13,14,25.130,CLE,@,JAX,W 21-20,*,21,35,60.00,264,2,2,78.8,3,20,7.54,6.11,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
64,62,2002,2002-12-15,14,15,25.137,CLE,,IND,L 23-28,*,21,35,60.00,287,2,0,105.3,4,34,8.20,9.34,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,2,0,0,0,0,0,,Tim Couch,CoucTi00
65,63,2002,2002-12-22,15,16,25.144,CLE,@,BAL,W 14-13,*,22,31,70.97,209,1,1,86.6,2,16,6.74,5.94,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
66,64,2002,2002-12-29,16,17,25.151,CLE,,ATL,W 24-16,*,7,11,63.64,68,0,1,43.0,0,0,6.18,2.09,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Tim Couch,CoucTi00
