,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,,
68,65,1989,1989-12-24,16,16,26.272,PHI,,PHO,W 31-14,*,19,36,52.78,162,1,1,62.5,2,19,4.50,3.81,8,41,5.13,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
69,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Randall Cunningham,CunnRa00
70,66,1990,1990-09-09,1,1,27.166,PHI,@,NYG,L 20-27,*,25,42,59.52,226,0,3,44.3,4,30,5.38,2.17,7,28,4.00,1,,0,0,,0,,,,1,6,1,,0,1,0,0,0,0,,0,,Randall Cunningham,CunnRa00
71,67,1990,1990-09-16,2,2,27.173,PHI,,PHO,L 21-23,*,17,24,70.83,252,2,2,97.9,4,29,10.50,8.42,6,34,5.67,1,,0,0,,0,,,,1,6,1,,0,1,0,0,0,0,,0,,Randall Cunningham,CunnRa00
72,68,1990,1990-09-23,3,3,27.180,PHI,@,RAM,W 27-21,*,18,29,62.07,248,2,1,98.1,3,14,8.55,8.38,7,44,6.29,0,,0,0,,0,,,,0,0,1,,0,0,-4,0,0,0,,0,,Randall Cunningham,CunnRa00
73,69,1990,1990-09-30,4,4,27.187,PHI,,IND,L 23-24,*,22,34,64.71,274,2,0,109.2,1,8,8.06,9.24,11,55,5.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
74,70,1990,1990-10-15,5,6,27.202,PHI,,MIN,W 32-24,*,17,34,50.00,262,2,1,83.2,5,43,7.71,7.56,13,90,6.92,0,,0,0,,0,,,,0,0,1,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
75,71,1990,1990-10-21,6,7,27.208,PHI,@,WAS,L 7-13,*,21,42,50.00,220,1,0,73.5,5,44,5.24,5.71,5,54,10.80,0,,0,0,,0,,,,0,0,1,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
76,72,1990,1990-10-28,7,8,27.215,PHI,@,DAL,W 21-20,*,17,30,56.67,183,2,0,96.9,2,23,6.10,7.43,9,53,5.89,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
77,73,1990,1990-11-04,8,9,27.222,PHI,,NWE,W 48-20,*,15,24,62.50,240,4,0,135.4,3,30,10.00,13.33,8,124,15.50,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
78,74,1990,1990-11-12,9,10,27.230,PHI,,WAS,W 28-14,*,11,20,55.00,132,1,1,71.2,4,44,6.60,5.35,5,42,8.40,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
79,75,1990,1990-11-18,10,11,27.236,PHI,@,ATL,W 24-23,*,16,27,59.26,214,3,0,121.5,3,23,7.93,10.15,7,17,2.43,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
80,76,1990,1990-11-25,11,12,27.243,PHI,,NYG,W 31-13,*,17,31,54.84,229,2,0,100.1,1,0,7.39,8.68,9,66,7.33,1,,0,0,,0,,,,1,6,0,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
81,77,1990,1990-12-02,12,13,27.250,PHI,@,BUF,L 23-30,*,15,25,60.00,231,3,1,113.5,6,50,9.24,9.84,7,71,10.14,0,,0,0,,0,,,,0,0,1,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
82,78,1990,1990-12-09,13,14,27.257,PHI,@,MIA,L 20-23,*,18,29,62.07,198,2,1,90.9,2,21,6.83,6.66,12,94,7.83,0,,0,0,,0,,,,0,0,1,,0,0,0,0,0,0,,0,,Randall Cunningham,CunnRa00
