,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
60,58,1999,1999-11-21,10,11,26.230,BAL,@,CIN,W 34-31,*,24,40,60.00,274,2,1,86.9,7,49,6.85,6.73,2,17,8.50,0,,0,0,2,1,0,0,0,0,,Tony Banks,BankTo00
61,59,1999,1999-11-28,11,12,26.237,BAL,,JAX,L 23-30,*,17,34,50.00,214,2,1,77.3,3,15,6.29,6.15,0,0,,0,,0,0,2,2,0,0,0,0,,Tony Banks,BankTo00
62,60,1999,1999-12-05,12,13,26.244,BAL,,TEN,W 41-14,*,18,31,58.06,332,4,0,134.7,1,0,10.71,13.29,1,8,8.00,0,,0,0,1,1,0,0,0,0,,Tony Banks,BankTo00
63,61,1999,1999-12-12,13,14,26.251,BAL,@,PIT,W 31-24,*,8,26,30.77,268,3,0,109.1,4,26,10.31,12.62,6,0,0.00,0,,0,0,3,0,0,1,0,0,,Tony Banks,BankTo00
64,62,1999,1999-12-19,14,15,26.258,BAL,,NOR,W 31-8,*,24,36,66.67,298,3,3,85.2,4,16,8.28,6.19,1,6,6.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
65,63,1999,1999-12-26,15,16,26.265,BAL,,CIN,W 22-0,*,15,33,45.45,187,1,1,61.0,1,6,5.67,4.91,2,1,0.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
66,64,1999,2000-01-02,16,17,26.272,BAL,@,NWE,L 3-20,*,18,26,69.23,163,0,1,69.9,4,28,6.27,4.54,2,7,3.50,0,,0,0,1,1,0,0,0,0,,Tony Banks,BankTo00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Tony Banks,BankTo00
68,65,2000,2000-09-03,1,1,27.151,BAL,@,PIT,W 16-0,*,18,32,56.25,199,1,0,85.3,1,3,6.22,6.84,2,5,2.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
69,66,2000,2000-09-10,2,2,27.158,BAL,,JAX,W 39-36,*,23,40,57.50,262,5,2,96.0,3,20,6.55,6.80,2,5,2.50,0,,0,0,1,0,0,0,0,0,,Tony Banks,BankTo00
70,67,2000,2000-09-17,3,3,27.165,BAL,@,MIA,L 6-19,*,19,31,61.29,189,0,1,65.1,6,45,6.10,4.65,2,11,5.50,0,,0,0,2,0,0,1,0,0,,Tony Banks,BankTo00
71,68,2000,2000-09-24,4,4,27.172,BAL,,CIN,W 37-0,*,20,36,55.56,196,2,0,89.6,0,0,5.44,6.56,0,0,,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
72,69,2000,2000-10-01,5,5,27.179,BAL,@,CLE,W 12-0,*,18,34,52.94,169,0,1,54.7,1,9,4.97,3.65,1,0,0.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
73,70,2000,2000-10-08,6,6,27.186,BAL,@,JAX,W 15-10,*,17,39,43.59,154,0,0,54.9,2,16,3.95,3.95,3,6,2.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
74,71,2000,2000-10-15,7,7,27.193,BAL,@,WAS,L 3-10,*,16,27,59.26,135,0,1,56.9,3,27,5.00,3.33,2,18,9.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
75,72,2000,2000-10-22,8,8,27.200,BAL,,TEN,L 6-14,*,17,32,53.13,229,0,3,37.1,3,24,7.16,2.94,4,13,3.25,0,,0,0,2,0,0,1,-2,0,,Tony Banks,BankTo00
76,73,2000,2000-10-29,9,9,,BAL,,PIT,L 6-9,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
77,74,2000,2000-11-05,10,10,,BAL,@,CIN,W 27-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
78,75,2000,2000-11-12,11,11,,BAL,@,TEN,W 24-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
79,76,2000,2000-11-19,12,12,27.228,BAL,,DAL,W 27-0,,0,0,,0,0,0,,0,,,,2,-3,-1.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
80,77,2000,2000-11-26,13,13,27.235,BAL,,CLE,W 44-7,,2,3,66.67,45,0,0,109.7,0,0,15.00,15.00,0,0,,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
81,78,2000,2000-12-10,14,15,,BAL,,SDG,W 24-3,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
82,79,2000,2000-12-17,15,16,,BAL,@,ARI,W 13-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
83,80,2000,2000-12-24,16,17,27.263,BAL,,NYJ,W 34-20,,0,0,,0,0,0,,1,8,,,1,2,2.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Tony Banks,BankTo00
85,81,2001,2001-09-09,1,1,28.157,WAS,@,SDG,L 3-30,,7,14,50.00,53,0,0,59.5,0,0,3.79,3.79,1,0,0.00,0,,0,0,1,0,0,0,-6,0,,Tony Banks,BankTo00
86,82,2001,2001-09-24,2,2,,WAS,@,GNB,L 0-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Banks,BankTo00
87,83,2001,2001-09-30,3,3,28.178,WAS,,KAN,L 13-45,*,11,27,40.74,116,1,1,50.8,1,9,4.30,3.37,3,19,6.33,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
88,84,2001,2001-10-07,4,4,28.185,WAS,@,NYG,L 9-23,*,13,31,41.94,151,0,2,30.4,4,27,4.87,1.97,2,0,0.00,0,,0,0,3,1,0,0,-1,0,,Tony Banks,BankTo00
89,85,2001,2001-10-15,5,5,28.193,WAS,@,DAL,L 7-9,*,10,18,55.56,132,1,0,97.5,2,9,7.33,8.44,3,4,1.33,0,,0,0,1,0,0,1,0,0,,Tony Banks,BankTo00
90,86,2001,2001-10-21,6,6,28.199,WAS,,CAR,W 17-14,*,17,30,56.67,346,1,1,94.6,1,1,11.53,10.70,2,-1,-0.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
91,87,2001,2001-10-28,7,7,28.206,WAS,,NYG,W 35-21,*,11,19,57.89,190,2,0,127.1,4,25,10.00,12.11,4,10,2.50,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
92,88,2001,2001-11-04,8,8,28.213,WAS,,SEA,W 27-14,*,15,23,65.22,152,2,1,94.8,1,13,6.61,6.39,4,27,6.75,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
93,89,2001,2001-11-18,9,10,28.227,WAS,@,DEN,W 17-10,*,4,13,30.77,27,0,0,40.2,1,7,2.08,2.08,2,10,5.00,0,,0,0,2,0,0,0,-2,0,,Tony Banks,BankTo00
94,90,2001,2001-11-25,10,11,28.234,WAS,@,PHI,W 13-3,*,12,18,66.67,96,0,0,79.9,2,11,5.33,5.33,5,20,4.00,0,,0,0,0,,0,0,0,0,,Tony Banks,BankTo00
95,91,2001,2001-12-02,11,12,28.241,WAS,,DAL,L 14-20,*,17,32,53.13,216,1,1,71.9,3,20,6.75,5.97,4,25,6.25,1,,1,6,1,0,0,0,-5,0,,Tony Banks,BankTo00
