,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
43,39,1999,1999-09-12,1,1,36.324,BUF,@,IND,L 14-31,*,22,42,52.38,300,1,2,63.6,5,26,7.14,5.48,4,24,6.00,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Doug Flutie,FlutDo00
44,40,1999,1999-09-19,2,2,36.331,BUF,,NYJ,W 17-3,*,15,25,60.00,160,0,0,78.7,0,0,6.40,6.40,7,67,9.57,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
45,41,1999,1999-09-26,3,3,36.338,BUF,,PHI,W 26-0,*,18,26,69.23,175,1,1,84.6,0,0,6.73,5.77,5,32,6.40,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
46,42,1999,1999-10-04,4,4,36.346,BUF,@,MIA,W 23-18,*,12,25,48.00,186,1,0,86.4,1,9,7.44,8.24,9,29,3.22,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
47,43,1999,1999-10-10,5,5,36.352,BUF,,PIT,W 24-21,*,21,32,65.63,261,3,0,122.0,2,7,8.16,10.03,7,39,5.57,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
48,44,1999,1999-10-17,6,6,36.359,BUF,,OAK,L 14-20,*,19,41,46.34,210,1,3,39.7,1,9,5.12,2.32,3,23,7.67,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Doug Flutie,FlutDo00
49,45,1999,1999-10-24,7,7,37.001,BUF,@,SEA,L 16-26,*,24,50,48.00,294,2,2,63.2,3,40,5.88,4.88,6,43,7.17,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Doug Flutie,FlutDo00
50,46,1999,1999-10-31,8,8,37.008,BUF,@,BAL,W 13-10,*,18,40,45.00,155,1,3,32.8,3,17,3.88,1.00,8,50,6.25,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
51,47,1999,1999-11-07,9,9,37.015,BUF,@,WAS,W 34-17,*,16,22,72.73,211,2,0,133.0,1,2,9.59,11.41,5,40,8.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
52,48,1999,1999-11-14,10,10,37.022,BUF,,MIA,W 23-3,*,10,20,50.00,157,1,0,93.1,0,0,7.85,8.85,7,8,1.14,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
53,49,1999,1999-11-21,11,11,37.029,BUF,@,NYJ,L 7-17,*,22,40,55.00,220,1,2,58.3,2,15,5.50,3.75,3,34,11.33,0,,,,,,,0,0,0.0,0,0,0,0,,2,1,0,0,0,0,,Doug Flutie,FlutDo00
