,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
75,66,1951,1951-10-28,5,5,37.225,WAS,@,PHI,W 27-23,*,8,17,47.06,203,1,0,110.7,,,11.94,13.12,1,5,5.00,0,0,0,,,,,Sammy Baugh,BaugSa00
76,67,1951,1951-11-04,6,6,37.232,WAS,,CHI,L 0-27,*,5,10,50.00,72,0,1,34.2,,11,7.20,2.70,,,,,0,0,,,,,Sammy Baugh,BaugSa00
77,68,1951,1951-11-11,7,7,37.239,WAS,@,NYG,L 14-28,*,14,35,40.00,247,1,6,34.8,,,7.06,-0.09,,,,,0,0,,,,,Sammy Baugh,BaugSa00
78,69,1951,1951-11-18,8,8,37.246,WAS,@,PIT,W 22-7,*,5,10,50.00,50,0,2,25.0,,,5.00,-4.00,,,,,0,0,,,,,Sammy Baugh,BaugSa00
79,70,1951,1951-11-25,9,9,37.253,WAS,,RAM,W 31-21,*,7,12,58.33,117,2,1,96.2,,,9.75,9.33,,,,,0,0,,,,,Sammy Baugh,BaugSa00
80,71,1951,1951-12-02,10,10,37.260,WAS,,PHI,L 21-35,*,7,18,38.89,114,0,0,60.9,,20,6.33,6.33,,,,,0,0,,,,,Sammy Baugh,BaugSa00
81,72,1951,1951-12-09,11,11,37.267,WAS,@,CRD,W 20-17,*,7,13,53.85,98,1,1,72.0,,8,7.54,5.62,,,,,0,0,,,,,Sammy Baugh,BaugSa00
82,73,1951,1951-12-16,12,12,37.274,WAS,,PIT,L 10-20,*,7,23,30.43,84,1,3,17.6,,1,3.65,-1.35,3,4,1.33,0,0,0,,,,,Sammy Baugh,BaugSa00
83,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sammy Baugh,BaugSa00
84,74,1952,1952-09-29,1,1,38.196,WAS,@,CRD,W 23-7,*,11,15,73.33,87,2,1,99.2,,,5.80,5.47,,,,,0,0,,,,,Sammy Baugh,BaugSa00
85,75,1952,1952-10-05,2,2,38.202,WAS,@,GNB,L 20-35,*,2,4,50.00,24,0,0,68.7,,3,6.00,6.00,,,,,0,0,,,,,Sammy Baugh,BaugSa00
86,76,1952,1952-10-12,3,3,38.209,WAS,,CRD,L 6-17,*,4,8,50.00,26,0,0,57.3,,,3.25,3.25,,,,,0,0,,,,,Sammy Baugh,BaugSa00
87,77,1952,1952-10-19,4,4,38.216,WAS,@,PIT,W 28-24,*,3,6,50.00,15,0,0,56.2,,,2.50,2.50,,,,,0,0,,,,,Sammy Baugh,BaugSa00
88,78,1952,1952-12-07,11,11,38.265,WAS,@,NYG,W 27-17,,,,,,,,,,,,,1,1,1.00,0,0,0,,,,,Sammy Baugh,BaugSa00
89,,,78 Games,,,,,,,44-32-2,,594,1059,56.09,8326,79,74,77.3,,103,7.86,6.21,27,96,3.56,4,4,24,31,491,0,,Sammy Baugh,BaugSa00
