,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
84,77,1964,1964-11-15,10,10,33.026,GNB,@,SFO,L 14-24,,16,25,64.00,228,1,1,90.1,3,30,9.12,8.12,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
85,78,1964,1964-11-29,12,12,33.040,GNB,@,DAL,W 45-21,,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
86,79,1964,1964-12-13,14,14,33.054,GNB,@,RAM,T 24-24,,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
87,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
88,80,1965,1965-09-26,2,2,33.341,GNB,,BAL,W 20-17,,5,9,55.56,73,1,0,119.2,2,27,8.11,10.33,2,1,0.50,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
89,81,1965,1965-10-31,7,7,34.011,GNB,@,CHI,L 10-31,,2,5,40.00,9,0,0,47.9,0,0,1.80,1.80,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
90,82,1965,1965-11-14,9,9,34.025,GNB,,RAM,W 6-3,,2,3,66.67,28,0,0,96.5,2,15,9.33,9.33,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
91,83,1965,1965-11-28,11,11,34.039,GNB,@,RAM,L 10-21,,6,12,50.00,148,1,1,88.2,1,9,12.33,10.25,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
92,84,1965,1965-12-05,12,12,34.046,GNB,,MIN,W 24-19,,6,19,31.58,90,1,3,26.1,3,28,4.74,-1.32,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
93,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
94,85,1966,1966-10-23,7,7,35.003,GNB,,ATL,W 56-3,,2,6,33.33,31,1,0,91.0,1,12,5.17,8.50,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
95,86,1966,1966-10-30,8,8,35.010,GNB,@,DET,W 31-7,,2,2,100.00,16,0,0,100.0,0,0,8.00,8.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
96,87,1966,1966-11-20,10,11,35.031,GNB,,CHI,W 13-6,,14,25,56.00,190,2,1,90.4,1,13,7.60,7.40,2,0,0.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
97,88,1966,1966-12-10,13,14,35.051,GNB,@,BAL,W 14-10,,5,8,62.50,87,0,0,99.5,1,13,10.88,10.88,1,3,3.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
98,89,1966,1966-12-18,14,15,35.059,GNB,@,RAM,W 27-23,*,13,23,56.52,245,1,1,89.9,2,8,10.65,9.57,1,4,4.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
99,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
100,90,1967,1967-10-01,3,3,35.346,GNB,,ATL,W 23-0,,15,26,57.69,214,2,2,78.0,1,13,8.23,6.31,1,-1,-1.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
101,91,1967,1967-10-08,4,4,35.353,GNB,@,DET,W 27-17,*,12,19,63.16,154,2,2,84.0,2,23,8.11,5.47,2,3,1.50,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
102,92,1967,1967-10-15,5,5,35.360,GNB,,MIN,L 7-10,*,15,25,60.00,240,1,3,65.8,2,14,9.60,5.00,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
103,93,1967,1967-11-19,10,10,36.030,GNB,,SFO,W 13-0,,9,18,50.00,103,0,1,44.4,0,0,5.72,3.22,2,4,2.00,0,0,0,0,0,,0,Zeke Bratkowski,BratZe00
104,94,1967,1967-12-17,14,14,36.058,GNB,,PIT,L 17-24,,2,6,33.33,13,0,1,2.8,1,14,2.17,-5.33,,,,,0,0,0,0,,0,Zeke Bratkowski,BratZe00
105,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Zeke Bratkowski,BratZe00
