,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
24,24,1949,1949-12-11,12,12,28.083,NYG,@,PHI,L 3-17,,9,23,39.13,98,0,3,12.9,,,4.26,-1.61,1,1,1.00,0,,,,,0,0,,,,,Charlie Conerly,ConeCh00
25,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
26,25,1950,1950-09-17,1,1,28.363,NYG,@,PIT,W 18-7,,3,13,23.08,30,0,1,7.5,,,2.31,-1.15,2,19,9.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
27,26,1950,1950-10-01,2,3,29.012,NYG,@,CLE,W 6-0,*,4,13,30.77,61,0,0,47.3,,39,4.69,4.69,2,2,1.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
28,27,1950,1950-10-08,3,4,29.019,NYG,@,WAS,W 21-17,*,7,18,38.89,168,1,0,91.9,,,9.33,10.44,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
29,28,1950,1950-10-15,4,5,29.026,NYG,,PIT,L 6-17,*,5,14,35.71,59,1,1,43.5,,,4.21,2.43,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
30,29,1950,1950-10-22,5,6,29.033,NYG,,CLE,W 17-13,,0,3,0.00,0,0,0,39.6,,,0.00,0.00,4,-3,-0.75,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
31,30,1950,1950-10-29,6,7,29.040,NYG,@,CRD,L 3-17,*,3,9,33.33,23,0,1,2.8,,,2.56,-2.44,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
32,31,1950,1950-11-05,7,8,29.047,NYG,,WAS,W 24-21,,8,14,57.14,89,1,0,100.0,,,6.36,7.79,2,-9,-4.50,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
33,32,1950,1950-11-12,8,9,29.054,NYG,,CRD,W 51-21,*,10,20,50.00,234,2,1,105.0,,,11.70,11.45,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
34,33,1950,1950-11-19,9,10,29.061,NYG,@,BCL,W 55-20,*,2,5,40.00,13,0,2,8.3,,,2.60,-15.40,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
35,34,1950,1950-12-03,11,12,29.075,NYG,,NYY,W 51-7,*,10,17,58.82,235,2,1,117.9,,,13.82,13.53,2,10,5.00,1,,,,,1,6,0,0,,,Charlie Conerly,ConeCh00
36,35,1950,1950-12-10,12,13,29.082,NYG,@,PHI,W 9-7,*,4,6,66.67,88,1,0,149.3,,,14.67,18.00,1,-2,-2.00,0,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
37,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Charlie Conerly,ConeCh00
38,36,1951,1951-10-01,1,1,30.012,NYG,@,PIT,T 13-13,,2,5,40.00,20,0,0,52.1,,,4.00,4.00,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
39,37,1951,1951-10-07,2,2,30.018,NYG,@,WAS,W 35-14,*,13,24,54.17,170,3,3,76.7,,7,7.08,3.96,0,0,,1,,,,,1,6,0,0,,,Charlie Conerly,ConeCh00
40,38,1951,1951-10-14,3,3,30.025,NYG,,CRD,W 28-17,*,7,19,36.84,83,0,5,11.4,,18,4.37,-7.47,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
41,39,1951,1951-10-21,4,4,30.032,NYG,,PHI,W 26-24,*,11,20,55.00,128,1,3,51.7,,33,6.40,0.65,,,,,,,,,0,0,0,0,,,Charlie Conerly,ConeCh00
