,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,,
114,107,1983,1983-10-23,8,8,30.091,NWE,@,BUF,W 31-0,*,17,29,58.62,251,2,0,110.0,1,7,8.66,10.03,3,10,3.33,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
115,108,1983,1983-10-30,9,9,30.098,NWE,@,ATL,L 13-24,*,22,36,61.11,257,2,1,89.7,1,9,7.14,7.00,3,30,10.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
116,109,1983,1983-11-06,10,10,30.105,NWE,,BUF,W 21-7,*,15,28,53.57,251,2,2,78.1,0,0,8.96,7.18,1,9,9.00,0,1,-8,-8.00,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
117,110,1983,1983-11-13,11,11,30.112,NWE,,MIA,W 17-6,*,12,26,46.15,162,0,0,66.5,1,0,6.23,6.23,3,3,1.00,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
118,111,1983,1983-11-20,12,12,30.119,NWE,,CLE,L 0-30,*,9,20,45.00,74,0,3,15.4,2,13,3.70,-3.05,1,11,11.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
119,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
120,112,1984,1984-09-02,1,1,31.040,NWE,@,BUF,W 21-17,*,12,22,54.55,227,2,1,101.9,2,14,10.32,10.09,3,-4,-1.33,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
121,113,1984,1984-09-09,2,2,31.047,NWE,@,MIA,L 7-28,*,20,42,47.62,217,1,4,31.6,2,12,5.17,1.36,3,16,5.33,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
122,114,1984,1984-09-16,3,3,31.054,NWE,,SEA,W 38-23,*,0,4,0.00,0,0,1,0.0,3,19,0.00,-11.25,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
123,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
124,115,1985,1985-10-13,6,6,32.081,NWE,,BUF,W 14-3,,15,19,78.95,282,1,0,136.3,1,0,14.84,15.89,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
125,116,1985,1985-10-20,7,7,32.088,NWE,,NYJ,W 20-13,*,11,32,34.38,171,1,1,50.4,2,16,5.34,4.56,8,2,0.25,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
126,117,1985,1985-10-27,8,8,32.095,NWE,@,TAM,W 32-14,*,14,21,66.67,237,0,0,104.7,3,25,11.29,11.29,1,9,9.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
127,118,1985,1985-11-03,9,9,32.102,NWE,,MIA,W 17-13,*,14,31,45.16,188,1,3,36.2,2,11,6.06,2.35,2,13,6.50,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
128,119,1985,1985-11-10,10,10,32.109,NWE,,IND,W 34-15,*,13,22,59.09,190,2,0,117.6,3,34,8.64,10.45,3,2,0.67,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
129,120,1985,1985-11-17,11,11,32.116,NWE,@,SEA,W 20-13,*,15,27,55.56,198,2,1,88.2,0,0,7.33,7.15,4,3,0.75,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
130,121,1985,1985-11-24,12,12,32.123,NWE,@,NYJ,L 13-16,*,3,4,75.00,45,0,0,111.5,0,0,11.25,11.25,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
131,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
132,122,1986,1986-10-05,5,5,33.073,NWE,,MIA,W 34-7,,6,10,60.00,106,1,0,129.6,0,0,10.60,12.60,2,11,5.50,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
133,123,1986,1986-10-12,6,6,33.080,NWE,,NYJ,L 24-31,*,23,42,54.76,401,3,0,111.3,2,18,9.55,10.98,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
134,124,1986,1986-10-19,7,7,33.087,NWE,@,PIT,W 34-0,*,18,26,69.23,243,3,1,121.2,1,7,9.35,9.92,1,0,0.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
135,125,1986,1986-12-22,16,16,33.151,NWE,@,MIA,W 34-27,,15,24,62.50,226,2,1,103.8,1,6,9.42,9.21,6,12,2.00,1,0,0,,0,1,6,0,,0,0,0,0,Steve Grogan,GrogSt00
136,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Steve Grogan,GrogSt00
137,126,1987,1987-09-13,1,1,34.051,NWE,,MIA,W 28-21,*,14,21,66.67,150,1,2,63.7,0,0,7.14,3.81,4,8,2.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
138,127,1987,1987-11-01,7,8,34.100,NWE,,RAI,W 26-23,,14,27,51.85,282,1,1,85.7,2,14,10.44,9.52,2,14,7.00,0,0,0,,0,0,0,0,,0,0,0,0,Steve Grogan,GrogSt00
