,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
50,44,1993,1993-09-26,4,4,,SFO,@,NOR,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
51,45,1993,1993-10-03,5,5,,SFO,,MIN,W 38-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Bono,BonoSt00
52,46,1993,1993-10-17,6,7,,SFO,@,DAL,L 17-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
53,47,1993,1993-10-24,7,8,,SFO,,PHO,W 28-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
54,48,1993,1993-10-31,8,9,,SFO,,RAM,W 40-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Bono,BonoSt00
55,49,1993,1993-11-14,9,11,31.187,SFO,@,TAM,W 45-21,,2,5,40.00,14,0,0,47.9,1,1,2.80,2.80,2,-2,-1.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
56,50,1993,1993-11-22,10,12,31.195,SFO,,NOR,W 42-7,,3,4,75.00,39,0,0,105.2,0,0,9.75,9.75,4,8,2.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
57,51,1993,1993-11-28,11,13,31.201,SFO,@,RAM,W 35-10,,2,5,40.00,26,0,0,57.1,1,3,5.20,5.20,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
58,52,1993,1993-12-05,12,14,31.208,SFO,,CIN,W 21-8,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
59,53,1993,1993-12-11,13,15,31.214,SFO,@,ATL,L 24-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,0,0,0,,,0,0,0,,Steve Bono,BonoSt00
60,54,1993,1993-12-19,14,16,31.222,SFO,@,DET,W 55-17,,3,5,60.00,39,0,0,84.6,0,0,7.80,7.80,3,-3,-1.00,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
61,55,1993,1993-12-25,15,17,31.228,SFO,,HOU,L 7-10,,11,13,84.62,79,0,0,92.0,0,0,6.08,6.08,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Bono,BonoSt00
