,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
41,40,1994,1994-10-30,8,9,23.330,CIN,,DAL,L 20-23,*,14,32,43.75,247,2,0,91.5,1,4,7.72,8.97,3,9,3.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
42,41,1994,1994-11-06,9,10,23.337,CIN,@,SEA,W 20-17,*,31,43,72.09,387,0,1,90.0,2,10,9.00,7.95,5,23,4.60,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
43,42,1994,1994-11-13,10,11,23.344,CIN,,HOU,W 34-31,*,23,33,69.70,354,4,0,144.4,1,6,10.73,13.15,4,0,0.00,0,,0,0,1,1,0,0,0,0,,Jeff Blake,BlakJe00
44,43,1994,1994-11-20,11,12,23.351,CIN,,IND,L 13-17,*,21,37,56.76,207,1,1,70.4,1,10,5.59,4.92,4,27,6.75,0,,0,0,1,1,0,0,0,0,,Jeff Blake,BlakJe00
45,44,1994,1994-11-27,12,13,23.358,CIN,@,DEN,L 13-15,*,15,33,45.45,215,1,1,64.6,3,20,6.52,5.76,4,37,9.25,0,,0,0,1,1,0,0,0,0,,Jeff Blake,BlakJe00
46,45,1994,1994-12-04,13,14,24.000,CIN,,PIT,L 15-38,*,8,19,42.11,156,1,2,49.3,5,37,8.21,4.53,3,23,7.67,1,1,1,8,1,1,0,0,0,0,,Jeff Blake,BlakJe00
47,46,1994,1994-12-11,14,15,24.007,CIN,@,NYG,L 20-27,*,17,37,45.95,200,2,0,80.9,1,3,5.41,6.49,6,30,5.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
48,47,1994,1994-12-18,15,16,24.014,CIN,@,ARI,L 7-28,*,10,28,35.71,149,1,1,51.0,4,24,5.32,4.43,2,1,0.50,0,,0,0,1,1,0,0,-2,0,,Jeff Blake,BlakJe00
49,48,1994,1994-12-24,16,17,24.020,CIN,,PHI,W 33-30,*,17,42,40.48,239,2,3,45.6,1,6,5.69,3.43,6,54,9.00,0,,0,0,1,0,0,0,-3,0,,Jeff Blake,BlakJe00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Blake,BlakJe00
51,49,1995,1995-09-03,1,1,24.273,CIN,@,IND,W 24-21,*,19,33,57.58,249,1,0,91.6,0,0,7.55,8.15,1,14,14.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
52,50,1995,1995-09-10,2,2,24.280,CIN,,JAX,W 24-17,*,20,30,66.67,247,2,0,114.2,3,19,8.23,9.57,3,8,2.67,0,,0,0,1,1,0,0,0,0,,Jeff Blake,BlakJe00
53,51,1995,1995-09-17,3,3,24.287,CIN,@,SEA,L 21-24,*,22,42,52.38,286,2,1,80.1,1,0,6.81,6.69,5,56,11.20,0,,0,0,1,0,0,0,-7,0,,Jeff Blake,BlakJe00
54,52,1995,1995-09-24,4,4,24.294,CIN,,HOU,L 28-38,*,24,46,52.17,356,3,0,99.5,1,9,7.74,9.04,1,7,7.00,0,,0,0,1,0,0,0,0,0,,Jeff Blake,BlakJe00
55,53,1995,1995-10-01,5,5,24.301,CIN,,MIA,L 23-26,*,18,34,52.94,201,3,0,100.2,1,3,5.91,7.68,1,5,5.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
56,54,1995,1995-10-08,6,6,24.308,CIN,@,TAM,L 16-19,*,16,31,51.61,210,1,3,44.5,1,6,6.77,3.06,2,16,8.00,0,,0,0,2,2,0,0,0,0,,Jeff Blake,BlakJe00
57,55,1995,1995-10-19,7,8,24.319,CIN,@,PIT,W 27-9,*,18,22,81.82,275,3,0,158.3,0,0,12.50,15.23,4,32,8.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
58,56,1995,1995-10-29,8,9,24.329,CIN,,CLE,L 26-29,*,20,35,57.14,249,2,2,74.6,4,20,7.11,5.69,2,3,1.50,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
59,57,1995,1995-11-05,9,10,24.336,CIN,,OAK,L 17-20,*,16,31,51.61,159,1,2,50.3,4,38,5.13,2.87,4,31,7.75,0,1,0,2,1,1,0,0,0,0,,Jeff Blake,BlakJe00
60,58,1995,1995-11-12,10,11,24.343,CIN,@,HOU,W 32-25,*,21,34,61.76,220,2,1,87.9,0,0,6.47,6.32,7,49,7.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
61,59,1995,1995-11-19,11,12,24.350,CIN,,PIT,L 31-49,*,19,28,67.86,217,3,0,126.6,3,24,7.75,9.89,7,15,2.14,1,,1,6,2,1,0,0,0,0,,Jeff Blake,BlakJe00
62,60,1995,1995-11-26,12,13,24.357,CIN,@,JAX,W 17-13,*,19,39,48.72,210,1,3,41.6,0,0,5.38,2.44,7,46,6.57,1,,1,6,0,,0,0,0,0,,Jeff Blake,BlakJe00
63,61,1995,1995-12-03,13,14,24.364,CIN,@,GNB,L 10-24,*,19,35,54.29,202,1,2,57.1,3,16,5.77,3.77,2,9,4.50,0,,0,0,1,0,0,0,0,0,,Jeff Blake,BlakJe00
64,62,1995,1995-12-10,14,15,25.006,CIN,,CHI,W 16-10,*,30,41,73.17,253,1,0,96.9,1,7,6.17,6.66,3,4,1.33,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
65,63,1995,1995-12-17,15,16,25.013,CIN,@,CLE,L 10-26,*,22,46,47.83,257,0,1,56.2,2,10,5.59,4.61,4,14,3.50,0,,0,0,1,0,0,0,0,0,,Jeff Blake,BlakJe00
66,64,1995,1995-12-24,16,17,25.020,CIN,,MIN,W 27-24,*,23,40,57.50,231,2,2,69.9,0,0,5.78,4.53,0,0,,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Blake,BlakJe00
68,65,1996,1996-09-01,1,1,25.272,CIN,@,STL,L 16-26,*,23,40,57.50,226,1,2,61.0,3,21,5.65,3.90,2,4,2.00,0,,0,0,2,2,0,0,0,0,,Jeff Blake,BlakJe00
69,66,1996,1996-09-08,2,2,25.279,CIN,@,SDG,L 14-27,*,14,33,42.42,163,1,1,55.5,0,0,4.94,4.18,3,8,2.67,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
70,67,1996,1996-09-15,3,3,25.286,CIN,,NOR,W 30-15,*,22,39,56.41,225,1,0,81.7,2,7,5.77,6.28,4,3,0.75,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
71,68,1996,1996-09-29,4,5,25.300,CIN,,DEN,L 10-14,*,15,29,51.72,166,0,1,54.7,4,19,5.72,4.17,6,21,3.50,1,,1,6,1,0,0,0,-4,0,,Jeff Blake,BlakJe00
72,69,1996,1996-10-06,5,6,25.307,CIN,,HOU,L 27-30,*,18,37,48.65,170,1,0,70.8,4,18,4.59,5.14,7,35,5.00,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
73,70,1996,1996-10-13,6,7,25.314,CIN,@,PIT,L 10-20,*,23,30,76.67,229,1,1,95.0,10,71,7.63,6.80,4,14,3.50,0,,0,0,2,1,0,0,0,0,,Jeff Blake,BlakJe00
74,71,1996,1996-10-20,7,8,25.321,CIN,@,SFO,L 21-28,*,15,34,44.12,200,3,1,80.5,1,4,5.88,6.32,2,7,3.50,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
75,72,1996,1996-10-27,8,9,25.328,CIN,,JAX,W 28-21,*,19,30,63.33,244,2,0,111.0,5,42,8.13,9.47,4,14,3.50,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
76,73,1996,1996-11-03,9,10,25.335,CIN,@,BAL,W 24-21,*,22,39,56.41,255,0,1,65.7,1,2,6.54,5.38,7,49,7.00,1,,1,6,0,,0,0,0,0,,Jeff Blake,BlakJe00
77,74,1996,1996-11-10,10,11,25.342,CIN,,PIT,W 34-24,*,24,39,61.54,275,1,3,59.2,2,15,7.05,4.10,5,3,0.60,0,,0,0,0,,0,0,0,0,,Jeff Blake,BlakJe00
78,75,1996,1996-11-17,11,12,25.349,CIN,@,BUF,L 17-31,*,8,22,36.36,95,0,1,31.4,5,35,4.32,2.27,3,12,4.00,0,,0,0,2,0,0,1,-9,0,,Jeff Blake,BlakJe00
