,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Andy Dalton,DaltAn00
85,81,2016,2016-09-11,1,1,28.318,CIN,@,NYJ,W 23-22,*,23,30,76.67,366,1,1,114.0,7,42,12.20,11.37,3,7,2.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
86,82,2016,2016-09-18,2,2,28.325,CIN,@,PIT,L 16-24,*,31,54,57.41,366,1,0,84.3,1,0,6.78,7.15,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
87,83,2016,2016-09-25,3,3,28.332,CIN,,DEN,L 17-29,*,21,31,67.74,206,0,1,72.8,4,17,6.65,5.19,6,40,6.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
88,84,2016,2016-09-29,4,4,28.336,CIN,,MIA,W 22-7,*,22,31,70.97,296,1,0,111.8,1,11,9.55,10.19,6,-12,-2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,2,-14,0,70,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
89,85,2016,2016-10-09,5,5,28.346,CIN,@,DAL,L 14-28,*,29,41,70.73,269,2,0,104.6,4,20,6.56,7.54,6,34,5.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
90,86,2016,2016-10-16,6,6,28.353,CIN,@,NWE,L 17-35,*,21,31,67.74,254,1,0,103.4,2,17,8.19,8.84,2,17,8.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,97%,0,0%,0,0%,,Andy Dalton,DaltAn00
91,87,2016,2016-10-23,7,7,28.360,CIN,,CLE,W 31-17,*,19,28,67.86,308,2,0,128.3,3,20,11.00,12.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
92,88,2016,2016-10-30,8,8,29.001,CIN,,WAS,T 27-27,*,27,42,64.29,284,1,1,81.8,3,21,6.76,6.17,4,21,5.25,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,88,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
93,89,2016,2016-11-14,9,10,29.016,CIN,@,NYG,L 20-21,*,16,29,55.17,204,1,1,74.5,3,18,7.03,6.17,1,15,15.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Andy Dalton,DaltAn00
