,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
61,59,2002,2002-11-24,11,12,26.245,NOR,,CLE,L 15-24,*,23,40,57.50,318,0,3,51.9,2,9,7.95,4.58,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Aaron Brooks,BrooAa00
62,60,2002,2002-12-01,12,13,26.252,NOR,,TAM,W 23-20,*,9,25,36.00,155,2,0,84.6,4,29,6.20,7.80,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,,Aaron Brooks,BrooAa00
63,61,2002,2002-12-08,13,14,26.259,NOR,@,BAL,W 37-25,*,9,25,36.00,123,1,0,65.9,2,17,4.92,5.72,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
64,62,2002,2002-12-15,14,15,26.266,NOR,,MIN,L 31-32,*,21,33,63.64,255,2,0,107.5,4,34,7.73,8.94,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
65,63,2002,2002-12-22,15,16,26.273,NOR,@,CIN,L 13-20,*,16,38,42.11,203,1,0,68.2,3,26,5.34,5.87,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,3,1,0,0,0,0,,Aaron Brooks,BrooAa00
66,64,2002,2002-12-29,16,17,26.280,NOR,,CAR,L 6-10,*,12,31,38.71,145,0,2,26.9,3,18,4.68,1.77,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-2,0,,Aaron Brooks,BrooAa00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Aaron Brooks,BrooAa00
68,65,2003,2003-09-07,1,1,27.167,NOR,@,SEA,L 10-27,*,29,47,61.70,274,1,1,76.0,2,11,5.83,5.30,3,-5,-1.67,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,-6,0,,Aaron Brooks,BrooAa00
69,66,2003,2003-09-14,2,2,27.174,NOR,,HOU,W 31-10,*,18,27,66.67,189,2,0,111.5,2,7,7.00,8.48,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Aaron Brooks,BrooAa00
70,67,2003,2003-09-21,3,3,27.181,NOR,@,TEN,L 12-27,*,15,23,65.22,185,1,0,104.4,3,20,8.04,8.91,4,15,3.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,Aaron Brooks,BrooAa00
