,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
135,125,1960,1960-09-25,1,1,34.194,PHI,,CLE,L 24-41,*,16,30,53.33,251,2,3,64.0,,,8.37,5.20,1,0,0.00,0,0,0,0,0,,0,Norm Van Brocklin,VanBNo00
136,126,1960,1960-09-30,2,2,34.199,PHI,@,DAL,W 27-25,*,11,23,47.83,139,1,3,42.0,,,6.04,1.04,,,,,0,0,3,152,50.67,0,Norm Van Brocklin,VanBNo00
137,127,1960,1960-10-09,3,3,34.208,PHI,,STL,W 31-27,*,17,23,73.91,199,3,1,121.2,,,8.65,9.30,2,-2,-1.00,0,0,0,3,140,46.67,0,Norm Van Brocklin,VanBNo00
138,128,1960,1960-10-16,4,4,34.215,PHI,,DET,W 28-10,*,9,19,47.37,193,2,2,79.4,,,10.16,7.53,,,,,0,0,8,354,44.25,0,Norm Van Brocklin,VanBNo00
139,129,1960,1960-10-23,5,5,34.222,PHI,@,CLE,W 31-29,*,17,26,65.38,292,3,1,125.8,,,11.23,11.81,1,1,1.00,0,0,0,5,234,46.80,0,Norm Van Brocklin,VanBNo00
140,130,1960,1960-11-06,6,7,34.236,PHI,,PIT,W 34-7,*,19,30,63.33,295,3,0,129.2,,,9.83,11.83,1,1,1.00,0,0,0,3,124,41.33,0,Norm Van Brocklin,VanBNo00
141,131,1960,1960-11-13,7,8,34.243,PHI,,WAS,W 19-13,*,9,24,37.50,182,2,3,53.1,2,16,7.58,3.63,1,-1,-1.00,0,0,0,5,204,40.80,0,Norm Van Brocklin,VanBNo00
142,132,1960,1960-11-20,8,9,34.250,PHI,@,NYG,W 17-10,*,13,24,54.17,236,1,0,102.1,3,33,9.83,10.67,1,0,0.00,0,0,0,7,279,39.86,0,Norm Van Brocklin,VanBNo00
143,133,1960,1960-11-27,9,10,34.257,PHI,,NYG,W 31-23,*,13,23,56.52,147,3,3,75.8,,,6.39,3.13,1,1,1.00,0,0,0,6,272,45.33,0,Norm Van Brocklin,VanBNo00
144,134,1960,1960-12-04,10,11,34.264,PHI,@,STL,W 20-6,*,13,27,48.15,251,2,1,90.2,4,37,9.30,9.11,1,-3,-3.00,0,0,0,8,385,48.13,0,Norm Van Brocklin,VanBNo00
145,135,1960,1960-12-11,11,12,34.271,PHI,@,PIT,L 21-27,*,8,20,40.00,96,0,0,55.4,1,10,4.80,4.80,1,-1,-1.00,0,0,0,7,267,38.14,0,Norm Van Brocklin,VanBNo00
146,136,1960,1960-12-18,12,13,34.278,PHI,@,WAS,W 38-28,*,8,15,53.33,190,2,0,138.2,,,12.67,15.33,1,-9,-9.00,0,0,0,5,173,34.60,0,Norm Van Brocklin,VanBNo00
147,,,136 Games,,,,,,,81-49-6,,1553,2895,53.64,23611,173,178,75.1,23,838,8.16,6.58,101,40,0.40,11,11,66,60,2584,43.07,0,Norm Van Brocklin,VanBNo00
