,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
69,66,2010,2010-09-19,2,2,27.124,TEN,,PIT,L 11-19,*,7,10,70.00,66,0,2,48.3,2,18,6.60,-2.40,2,12,6.00,0,,0,0,2,1,0,0,0,0,,Vince Young,YounVi00
70,67,2010,2010-09-26,3,3,27.131,TEN,@,NYG,W 29-10,*,10,16,62.50,118,1,0,105.7,1,8,7.38,8.63,3,6,2.00,0,,0,0,0,,0,0,0,0,,Vince Young,YounVi00
71,68,2010,2010-10-03,4,4,27.138,TEN,,DEN,L 20-26,*,17,28,60.71,173,1,0,90.3,2,6,6.18,6.89,1,18,18.00,0,,0,0,0,,0,0,0,0,,Vince Young,YounVi00
72,69,2010,2010-10-10,5,5,27.145,TEN,@,DAL,W 34-27,*,12,25,48.00,173,2,0,97.6,3,10,6.92,8.52,4,22,5.50,0,,0,0,0,,0,0,0,0,,Vince Young,YounVi00
73,70,2010,2010-10-18,6,6,27.153,TEN,@,JAX,W 30-3,*,3,5,60.00,61,1,0,142.5,0,0,12.20,16.20,1,0,0.00,0,,0,0,1,0,0,1,-2,0,,Vince Young,YounVi00
74,71,2010,2010-10-24,7,7,,TEN,,PHI,W 37-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Young,YounVi00
75,72,2010,2010-10-31,8,8,27.166,TEN,@,SDG,L 25-33,*,10,21,47.62,253,2,0,123.7,0,0,12.05,13.95,2,3,1.50,0,,0,0,0,,0,0,0,0,,Vince Young,YounVi00
76,73,2010,2010-11-14,9,10,27.180,TEN,@,MIA,L 17-29,,9,18,50.00,92,1,1,60.4,2,19,5.11,3.72,2,14,7.00,0,,0,0,1,1,0,0,0,0,,Vince Young,YounVi00
77,74,2010,2010-11-21,10,11,27.187,TEN,,WAS,L 16-19,*,12,16,75.00,165,0,0,107.6,1,5,10.31,10.31,3,20,6.67,0,,0,0,1,1,0,0,0,0,,Vince Young,YounVi00
78,75,2010,2010-11-28,11,12,,TEN,@,HOU,L 0-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Vince Young,YounVi00
79,76,2010,2010-12-05,12,13,,TEN,,JAX,L 6-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Vince Young,YounVi00
80,77,2010,2010-12-09,13,14,,TEN,,IND,L 28-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Vince Young,YounVi00
