,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
42,41,2003,2003-11-09,9,10,,ATL,@,NYG,W 27-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
43,42,2003,2003-11-16,10,11,,ATL,@,NOR,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
44,43,2003,2003-11-23,11,12,,ATL,,TEN,L 31-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
45,44,2003,2003-11-30,12,13,23.157,ATL,@,HOU,L 13-17,,8,11,72.73,60,0,0,85.4,1,2,5.45,5.45,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
46,45,2003,2003-12-07,13,14,23.164,ATL,,CAR,W 20-14,*,16,33,48.48,179,0,1,52.5,3,23,5.42,4.06,14,141,10.07,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
47,46,2003,2003-12-14,14,15,23.171,ATL,@,IND,L 7-38,*,6,19,31.58,47,0,1,19.0,4,37,2.47,0.11,4,30,7.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
48,47,2003,2003-12-20,15,16,23.177,ATL,@,TAM,W 30-28,*,8,15,53.33,119,2,0,119.2,0,0,7.93,10.60,12,39,3.25,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Michael Vick,VickMi00
49,48,2003,2003-12-28,16,17,23.185,ATL,,JAX,W 21-14,*,12,22,54.55,180,2,1,93.0,1,2,8.18,7.95,7,29,4.14,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Michael Vick,VickMi00
51,49,2004,2004-09-12,1,1,24.078,ATL,@,SFO,W 21-19,*,13,22,59.09,163,1,1,78.4,4,31,7.41,6.27,6,10,1.67,0,0,0,0,,0,0.0%,,0,0,2,0,0,2,0,0,,,,,,,,Michael Vick,VickMi00
52,50,2004,2004-09-19,2,2,24.085,ATL,,STL,W 34-17,*,14,19,73.68,179,1,0,120.3,1,5,9.42,10.47,12,109,9.08,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
53,51,2004,2004-09-26,3,3,24.092,ATL,,ARI,W 6-3,*,10,20,50.00,115,0,1,46.9,6,26,5.75,3.50,8,68,8.50,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,,,,,,,,Michael Vick,VickMi00
54,52,2004,2004-10-03,4,4,24.099,ATL,@,CAR,W 27-10,*,10,18,55.56,148,0,0,82.6,0,0,8.22,8.22,7,35,5.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-5,0,,,,,,,,Michael Vick,VickMi00
55,53,2004,2004-10-10,5,5,24.106,ATL,,DET,L 10-17,*,18,29,62.07,196,0,1,67.6,6,35,6.76,5.21,5,29,5.80,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,,,,,,,,Michael Vick,VickMi00
56,54,2004,2004-10-17,6,6,24.113,ATL,,SDG,W 21-20,*,12,21,57.14,218,2,1,104.9,3,12,10.38,10.14,9,35,3.89,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
57,55,2004,2004-10-24,7,7,24.120,ATL,@,KAN,L 10-56,*,7,21,33.33,119,0,2,13.9,4,25,5.67,1.38,6,62,10.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
58,56,2004,2004-10-31,8,8,24.127,ATL,@,DEN,W 41-28,*,18,24,75.00,252,2,0,136.1,1,5,10.50,12.17,12,115,9.58,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,,,,,,,,Michael Vick,VickMi00
59,57,2004,2004-11-14,9,10,24.141,ATL,,TAM,W 24-14,*,8,16,50.00,147,1,1,76.8,5,27,9.19,7.63,9,73,8.11,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
60,58,2004,2004-11-21,10,11,24.148,ATL,@,NYG,W 14-10,*,12,20,60.00,115,2,0,109.4,2,18,5.75,7.75,15,104,6.93,0,0,0,0,,0,0.0%,,0,0,2,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
61,59,2004,2004-11-28,11,12,24.155,ATL,,NOR,W 24-21,*,16,29,55.17,212,2,1,87.1,2,2,7.31,7.14,10,69,6.90,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
62,60,2004,2004-12-05,12,13,24.162,ATL,@,TAM,L 0-27,*,13,27,48.15,115,0,2,29.1,5,23,4.26,0.93,8,81,10.13,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,,,,,,,,Michael Vick,VickMi00
63,61,2004,2004-12-12,13,14,24.169,ATL,,OAK,W 35-10,*,13,20,65.00,145,0,0,86.5,1,10,7.25,7.25,2,31,15.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
64,62,2004,2004-12-18,14,15,24.175,ATL,,CAR,W 34-31,*,11,28,39.29,154,2,2,51.8,4,29,5.50,3.71,8,68,8.50,1,0,0,0,,0,0.0%,,1,6,2,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
65,63,2004,2004-12-26,15,16,,ATL,@,NOR,L 13-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
66,64,2004,2005-01-02,16,17,24.190,ATL,@,SEA,L 26-28,*,6,7,85.71,35,1,0,127.1,2,18,5.00,7.86,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
