,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
48,44,1950,1950-11-12,9,9,30.109,RAM,@,GNB,W 45-14,,13,27,48.15,221,2,2,70.1,1,11,8.19,6.33,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
49,45,1950,1950-11-19,10,10,30.116,RAM,@,NYY,W 43-35,*,21,37,56.76,248,1,2,63.8,1,13,6.70,4.81,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
50,46,1950,1950-11-26,11,11,30.123,RAM,@,CHI,L 14-24,*,8,14,57.14,96,0,1,48.5,,,6.86,3.64,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
51,47,1950,1950-12-03,12,12,30.130,RAM,,GNB,W 51-14,*,19,27,70.37,139,2,1,91.4,1,14,5.15,4.96,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
52,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Bob Waterfield,WateBo01
53,48,1951,1951-10-07,2,2,31.073,RAM,,CLE,L 23-38,,6,16,37.50,106,0,1,34.9,,,6.63,3.81,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
54,49,1951,1951-10-14,3,3,31.080,RAM,@,DET,W 27-21,*,12,23,52.17,198,2,0,110.4,,25,8.61,10.35,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
55,50,1951,1951-10-21,4,4,31.087,RAM,@,GNB,W 28-0,*,5,12,41.67,85,1,1,59.4,,,7.08,5.00,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
56,51,1951,1951-10-28,5,5,31.094,RAM,@,SFO,L 17-44,*,7,16,43.75,73,0,1,31.5,,,4.56,1.75,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
57,52,1951,1951-11-04,6,6,31.101,RAM,,SFO,W 23-16,*,11,22,50.00,188,1,2,56.6,,,8.55,5.36,3,6,2.00,1,0,0,,0,1,6,,,,,Bob Waterfield,WateBo01
