,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
124,118,2016,2016-10-16,6,6,28.252,DET,,LAR,W 31-28,*,23,31,74.19,270,4,0,139.8,1,5,8.71,11.29,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
125,119,2016,2016-10-23,7,7,28.259,DET,,WAS,W 20-17,*,18,29,62.07,266,1,0,103.5,3,16,9.17,9.86,2,32,16.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,53,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
126,120,2016,2016-10-30,8,8,28.266,DET,@,HOU,L 13-20,*,27,41,65.85,240,1,0,89.5,1,9,5.85,6.34,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
127,121,2016,2016-11-06,9,9,28.273,DET,@,MIN,W 22-16,*,23,36,63.89,219,2,1,87.6,1,5,6.08,5.94,0,0,,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
128,122,2016,2016-11-20,10,11,28.287,DET,,JAX,W 26-19,*,24,33,72.73,278,0,0,97.8,3,15,8.42,8.42,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
129,123,2016,2016-11-24,11,12,28.291,DET,,MIN,W 16-13,*,23,40,57.50,232,1,0,82.5,2,18,5.80,6.30,4,30,7.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
130,124,2016,2016-12-04,12,13,28.301,DET,@,NOR,W 28-13,*,30,42,71.43,341,2,0,111.3,2,4,8.12,9.07,3,22,7.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
131,125,2016,2016-12-11,13,14,28.308,DET,,CHI,W 20-17,*,21,35,60.00,223,1,2,64.3,3,14,6.37,4.37,4,15,3.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
132,126,2016,2016-12-18,14,15,28.315,DET,@,NYG,L 6-17,*,24,39,61.54,273,0,1,71.8,1,5,7.00,5.85,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
133,127,2016,2016-12-26,15,16,28.323,DET,@,DAL,L 21-42,*,26,46,56.52,260,0,1,63.7,4,31,5.65,4.67,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,1,1,0,0,0,0,71,100%,0,0%,0,0%,,Matthew Stafford,StafMa00
