,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
39,38,2014,2014-10-19,6,7,26.084,MIA,@,CHI,W 27-14,*,25,32,78.13,277,2,0,123.6,4,21,8.66,9.91,6,48,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
40,39,2014,2014-10-26,7,8,26.091,MIA,@,JAX,W 27-13,*,16,29,55.17,196,1,1,73.3,3,18,6.76,5.90,5,48,9.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
41,40,2014,2014-11-02,8,9,26.098,MIA,,SDG,W 37-0,*,24,34,70.59,288,3,0,125.6,0,0,8.47,10.24,4,47,11.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,59,78%,0,0%,0,0%,,Ryan Tannehill,TannRy00
42,41,2014,2014-11-09,9,10,26.105,MIA,@,DET,L 16-20,*,27,38,71.05,207,1,1,81.8,3,29,5.45,4.79,2,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-6,0,61,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
43,42,2014,2014-11-13,10,11,26.109,MIA,,BUF,W 22-9,*,26,34,76.47,240,2,0,114.8,5,35,7.06,8.24,4,16,4.00,0,1,1,-4,-4.00,0,100.0%,-4.00,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,67,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
44,43,2014,2014-11-23,11,12,26.119,MIA,@,DEN,L 36-39,*,26,36,72.22,228,3,1,104.9,1,12,6.33,6.75,4,15,3.75,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
45,44,2014,2014-12-01,12,13,26.127,MIA,@,NYJ,W 16-13,*,25,35,71.43,235,0,1,77.7,2,18,6.71,5.43,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
46,45,2014,2014-12-07,13,14,26.133,MIA,,BAL,L 13-28,*,23,33,69.70,227,1,0,98.9,6,41,6.88,7.48,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,57,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
47,46,2014,2014-12-14,14,15,26.140,MIA,@,NWE,L 13-41,*,29,47,61.70,346,1,2,73.5,4,38,7.36,5.87,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,-2,0,78,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
48,47,2014,2014-12-21,15,16,26.147,MIA,,MIN,W 37-35,*,35,47,74.47,396,4,1,118.7,1,13,8.43,9.17,6,-5,-0.83,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
