,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
120,112,1978,1978-11-19,12,12,36.287,DAL,,NOR,W 27-7,*,9,15,60.00,141,1,0,113.5,4,35,9.40,10.73,2,5,2.50,1,,,,,1,6,Roger Staubach,StauRo00
121,113,1978,1978-11-23,13,13,36.291,DAL,,WAS,W 37-10,*,9,19,47.37,218,1,1,85.0,,,11.47,10.16,7,27,3.86,0,,,,,0,0,Roger Staubach,StauRo00
122,114,1978,1978-12-03,14,14,36.301,DAL,,NWE,W 17-10,*,15,27,55.56,243,2,0,110.6,2,13,9.00,10.48,7,10,1.43,0,,,,,0,0,Roger Staubach,StauRo00
123,115,1978,1978-12-10,15,15,36.308,DAL,@,PHI,W 31-13,*,13,19,68.42,190,2,0,135.9,1,11,10.00,12.11,1,6,6.00,0,,,,,0,0,Roger Staubach,StauRo00
124,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
125,116,1979,1979-09-02,1,1,37.209,DAL,@,STL,W 22-21,*,20,34,58.82,269,0,0,84.1,1,5,7.91,7.91,1,9,9.00,0,,,,,0,0,Roger Staubach,StauRo00
126,117,1979,1979-09-09,2,2,37.216,DAL,@,SFO,W 21-13,*,20,34,58.82,259,2,0,102.5,1,10,7.62,8.79,1,-2,-2.00,0,,,,,0,0,Roger Staubach,StauRo00
127,118,1979,1979-09-16,3,3,37.223,DAL,,CHI,W 24-20,*,18,31,58.06,222,3,0,112.6,2,16,7.16,9.10,4,21,5.25,0,,,,,0,0,Roger Staubach,StauRo00
128,119,1979,1979-09-24,4,4,37.231,DAL,@,CLE,L 7-26,*,21,39,53.85,303,1,2,66.5,4,32,7.77,5.97,2,11,5.50,0,,,,,0,0,Roger Staubach,StauRo00
129,120,1979,1979-09-30,5,5,37.237,DAL,,CIN,W 38-13,*,12,25,48.00,164,2,1,79.4,,,6.56,6.36,2,6,3.00,0,,,,,0,0,Roger Staubach,StauRo00
130,121,1979,1979-10-07,6,6,37.244,DAL,@,MIN,W 36-20,*,15,23,65.22,174,0,0,88.0,1,7,7.57,7.57,3,2,0.67,0,,,,,0,0,Roger Staubach,StauRo00
131,122,1979,1979-10-14,7,7,37.251,DAL,,RAM,W 30-6,*,13,18,72.22,176,3,0,142.6,2,16,9.78,13.11,5,45,9.00,0,,,,,0,0,Roger Staubach,StauRo00
132,123,1979,1979-10-21,8,8,37.258,DAL,,STL,W 22-13,*,11,25,44.00,164,2,2,59.4,,,6.56,4.56,1,9,9.00,0,,,,,0,0,Roger Staubach,StauRo00
133,124,1979,1979-10-28,9,9,37.265,DAL,@,PIT,L 3-14,*,11,25,44.00,113,0,0,57.6,3,9,4.52,4.52,1,4,4.00,0,,,,,0,0,Roger Staubach,StauRo00
134,125,1979,1979-11-04,10,10,37.272,DAL,@,NYG,W 16-14,*,20,30,66.67,266,1,0,105.7,4,28,8.87,9.53,4,19,4.75,0,,,,,0,0,Roger Staubach,StauRo00
135,126,1979,1979-11-12,11,11,37.280,DAL,,PHI,L 21-31,*,17,28,60.71,308,3,0,134.2,5,37,11.00,13.14,4,31,7.75,0,,,,,0,0,Roger Staubach,StauRo00
136,127,1979,1979-11-18,12,12,37.286,DAL,@,WAS,L 20-34,*,23,38,60.53,276,1,3,58.7,3,25,7.26,4.24,2,4,2.00,0,,,,,0,0,Roger Staubach,StauRo00
137,128,1979,1979-11-22,13,13,37.290,DAL,,HOU,L 24-30,*,21,30,70.00,287,2,2,94.7,1,8,9.57,7.90,4,3,0.75,0,,,,,0,0,Roger Staubach,StauRo00
138,129,1979,1979-12-02,14,14,37.300,DAL,,NYG,W 28-7,*,10,18,55.56,164,3,0,125.9,3,24,9.11,12.44,,,,,,,,,0,0,Roger Staubach,StauRo00
139,130,1979,1979-12-08,15,15,37.306,DAL,@,PHI,W 24-17,*,11,21,52.38,105,1,0,82.4,2,11,5.00,5.95,3,10,3.33,0,,,,,0,0,Roger Staubach,StauRo00
140,131,1979,1979-12-16,16,16,37.314,DAL,,WAS,W 35-34,*,24,42,57.14,336,3,1,96.9,4,12,8.00,8.36,,,,,,,,,0,0,Roger Staubach,StauRo00
141,,,131 Games,,,,,,,94-37-0,,1685,2958,56.96,22700,153,109,83.4,313,2154,7.67,7.05,410,2264,5.52,20,1,-13,-13.00,0,20,120,Roger Staubach,StauRo00
