,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
30,30,2004,2004-12-19,14,15,,DAL,@,PHI,L 7-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Romo,RomoTo00
31,31,2004,2004-12-26,15,16,,DAL,,WAS,W 13-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tony Romo,RomoTo00
32,32,2004,2005-01-02,16,17,,DAL,@,NYG,L 24-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Tony Romo,RomoTo00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Tony Romo,RomoTo00
34,33,2005,2005-09-11,1,1,25.143,DAL,@,SDG,W 28-24,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
35,34,2005,2005-09-19,2,2,25.151,DAL,,WAS,L 13-14,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
36,35,2005,2005-09-25,3,3,25.157,DAL,@,SFO,W 34-31,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
37,36,2005,2005-10-02,4,4,25.164,DAL,@,OAK,L 13-19,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
38,37,2005,2005-10-09,5,5,25.171,DAL,,PHI,W 33-10,,0,0,,0,0,0,,,,,,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
39,38,2005,2005-10-16,6,6,25.178,DAL,,NYG,W 16-13,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
40,39,2005,2005-10-23,7,7,25.185,DAL,@,SEA,L 10-13,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
41,40,2005,2005-10-30,8,8,25.192,DAL,,ARI,W 34-13,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
42,41,2005,2005-11-14,9,10,25.207,DAL,@,PHI,W 21-20,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
43,42,2005,2005-11-20,10,11,25.213,DAL,,DET,W 20-7,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
44,43,2005,2005-11-24,11,12,25.217,DAL,,DEN,L 21-24,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
45,44,2005,2005-12-04,12,13,25.227,DAL,@,NYG,L 10-17,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
46,45,2005,2005-12-11,13,14,25.234,DAL,,KAN,W 31-28,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
47,46,2005,2005-12-18,14,15,25.241,DAL,@,WAS,L 7-35,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
48,47,2005,2005-12-24,15,16,25.247,DAL,@,CAR,W 24-20,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
49,48,2005,2006-01-01,16,17,25.255,DAL,,STL,L 10-20,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Tony Romo,RomoTo00
51,49,2006,2006-09-10,1,1,26.142,DAL,@,JAX,L 17-24,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Tony Romo,RomoTo00
