,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
138,129,1995,1995-11-20,11,12,,SFO,@,MIA,W 44-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Young,YounSt00
139,130,1995,1995-11-26,12,13,34.046,SFO,,STL,W 41-13,*,21,32,65.63,226,3,2,91.4,0,0,7.06,6.13,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
140,131,1995,1995-12-03,13,14,34.053,SFO,,BUF,W 27-17,*,28,44,63.64,243,0,1,68.7,4,22,5.52,4.50,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
141,132,1995,1995-12-10,14,15,34.060,SFO,@,CAR,W 31-10,*,31,45,68.89,336,2,1,96.2,3,14,7.47,7.36,5,21,4.20,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,0,0,,Steve Young,YounSt00
142,133,1995,1995-12-18,15,16,34.068,SFO,,MIN,W 37-30,*,30,49,61.22,425,3,2,92.6,1,0,8.67,8.06,7,8,1.14,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
143,134,1995,1995-12-24,16,17,34.074,SFO,@,ATL,L 27-28,*,31,44,70.45,316,0,1,81.3,2,9,7.18,6.16,4,24,6.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
144,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
145,135,1996,1996-09-01,1,1,34.326,SFO,,NOR,W 27-11,*,18,29,62.07,199,0,0,82.4,3,18,6.86,6.86,6,52,8.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
146,136,1996,1996-09-08,2,2,34.333,SFO,,STL,W 34-0,*,15,18,83.33,138,0,0,98.6,1,2,7.67,7.67,4,14,3.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
147,137,1996,1996-09-22,3,4,34.347,SFO,@,CAR,L 7-23,*,24,40,60.00,267,1,1,77.8,4,15,6.68,6.05,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
148,138,1996,1996-09-29,4,5,,SFO,,ATL,W 39-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Young,YounSt00
149,139,1996,1996-10-06,5,6,,SFO,@,STL,W 28-11,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Young,YounSt00
150,140,1996,1996-10-14,6,7,,SFO,@,GNB,L 20-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Steve Young,YounSt00
151,141,1996,1996-10-20,7,8,35.009,SFO,,CIN,W 28-21,*,19,30,63.33,274,2,3,75.6,4,23,9.13,5.97,10,45,4.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
