,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
43,41,1990,1990-11-11,9,10,25.094,ATL,@,CHI,L 24-30,*,28,49,57.14,239,2,4,49.6,2,12,4.88,2.02,2,2,1.00,0,,,,,,,0,0,1,,0,0,-9,0,,Chris Miller,MillCh00
44,42,1990,1990-11-18,10,11,25.101,ATL,,PHI,L 23-24,*,19,38,50.00,268,1,0,81.9,2,12,7.05,7.58,2,5,2.50,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
45,43,1990,1990-11-25,11,12,25.108,ATL,@,NOR,L 7-10,*,18,31,58.06,192,1,0,87.0,4,25,6.19,6.84,4,27,6.75,0,,,,,,,0,0,3,,0,2,0,0,,Chris Miller,MillCh00
46,44,1990,1990-12-02,12,13,25.115,ATL,@,TAM,L 17-23,*,4,13,30.77,66,0,3,9.3,1,7,5.08,-5.31,2,26,13.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
48,45,1991,1991-09-01,1,1,26.023,ATL,@,KAN,L 3-14,*,9,21,42.86,110,0,4,20.0,1,8,5.24,-3.33,2,30,15.00,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
49,46,1991,1991-09-08,2,2,26.030,ATL,,MIN,L 19-20,*,27,41,65.85,300,2,1,93.5,2,20,7.32,7.20,4,36,9.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
50,47,1991,1991-09-15,3,3,26.037,ATL,@,SDG,W 13-10,*,16,33,48.48,198,1,1,65.0,1,3,6.00,5.24,2,3,1.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
51,48,1991,1991-09-22,4,4,26.044,ATL,,RAI,W 21-17,*,17,31,54.84,242,2,3,62.2,1,2,7.81,4.74,3,15,5.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
52,49,1991,1991-09-29,5,5,26.051,ATL,,NOR,L 6-27,*,14,30,46.67,163,0,0,63.6,5,34,5.43,5.43,1,20,20.00,0,,,,,,,0,0,2,,0,0,0,0,,Chris Miller,MillCh00
53,50,1991,1991-10-13,6,7,26.065,ATL,@,SFO,W 39-34,*,16,28,57.14,208,3,0,116.4,0,0,7.43,9.57,2,1,0.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
54,51,1991,1991-10-20,7,8,26.072,ATL,@,PHO,L 10-16,*,13,35,37.14,220,1,4,29.2,2,9,6.29,1.71,2,9,4.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
55,52,1991,1991-10-27,8,9,26.079,ATL,,RAM,W 31-14,*,14,19,73.68,237,3,0,155.0,0,0,12.47,15.63,2,15,7.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
56,53,1991,1991-11-03,9,10,26.086,ATL,,SFO,W 17-14,*,1,9,11.11,11,0,1,0.0,1,4,1.22,-3.78,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
57,54,1991,1991-11-10,10,11,,ATL,@,WAS,L 17-56,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chris Miller,MillCh00
