,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
57,55,1996,1996-10-17,7,8,,SEA,@,KAN,L 16-34,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
58,56,1996,1996-10-27,8,9,,SEA,,SDG,W 32-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
59,57,1996,1996-11-03,9,10,,SEA,,HOU,W 23-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
60,58,1996,1996-11-10,10,11,26.236,SEA,,MIN,W 42-23,,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,2,-2,-1.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
61,59,1996,1996-11-17,11,12,26.243,SEA,@,DET,L 16-17,,5,7,71.43,52,0,0,92.6,0,0,7.43,7.43,0,0,,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
62,60,1996,1996-11-24,12,13,26.250,SEA,,OAK,L 21-27,*,16,25,64.00,181,1,0,98.9,3,15,7.24,8.04,6,33,5.50,0,,0,0,1,1,0,0,0,0,,Rick Mirer,MireRi00
63,61,1996,1996-12-01,13,14,26.257,SEA,@,DEN,L 7-34,*,13,28,46.43,177,1,2,49.3,1,5,6.32,3.82,4,31,7.75,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
64,62,1996,1996-12-08,14,15,26.264,SEA,,BUF,W 26-18,*,9,23,39.13,147,1,0,75.8,2,15,6.39,7.26,2,15,7.50,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
65,63,1996,1996-12-15,15,16,26.271,SEA,@,JAX,L 13-20,*,16,31,51.61,156,1,1,63.4,2,9,5.03,4.23,0,0,,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
66,64,1996,1996-12-22,16,17,,SEA,@,OAK,W 28-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rick Mirer,MireRi00
68,65,1997,1997-09-01,1,1,,CHI,@,GNB,L 24-38,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
69,66,1997,1997-09-07,2,2,,CHI,,MIN,L 24-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Rick Mirer,MireRi00
70,67,1997,1997-09-14,3,3,27.179,CHI,,DET,L 7-32,,10,21,47.62,90,0,1,39.8,2,15,4.29,2.14,4,14,3.50,0,,0,0,1,0,0,0,-3,0,,Rick Mirer,MireRi00
71,68,1997,1997-09-21,4,4,27.186,CHI,@,NWE,L 3-31,*,17,25,68.00,154,0,2,51.1,5,34,6.16,2.56,2,13,6.50,0,,0,0,1,1,0,0,0,0,,Rick Mirer,MireRi00
72,69,1997,1997-09-28,5,5,27.193,CHI,@,DAL,L 3-27,*,11,21,52.38,62,0,1,38.4,4,10,2.95,0.81,0,0,,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
73,70,1997,1997-10-05,6,6,27.200,CHI,,NOR,L 17-20,*,7,16,43.75,58,0,0,53.6,3,16,3.63,3.63,4,18,4.50,0,,0,0,1,0,0,1,-1,0,,Rick Mirer,MireRi00
74,71,1997,1997-10-12,7,7,,CHI,,GNB,L 23-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
75,72,1997,1997-10-27,8,9,,CHI,@,MIA,W 36-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
76,73,1997,1997-11-02,9,10,,CHI,,WAS,L 8-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
77,74,1997,1997-11-09,10,11,,CHI,@,MIN,L 22-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
78,75,1997,1997-11-16,11,12,,CHI,,NYJ,L 15-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
79,76,1997,1997-11-23,12,13,,CHI,,TAM,W 13-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
80,77,1997,1997-11-27,13,14,,CHI,@,DET,L 20-55,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
81,78,1997,1997-12-07,14,15,27.263,CHI,,BUF,W 20-3,,1,3,33.33,9,0,0,42.4,0,0,3.00,3.00,1,-1,-1.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
82,79,1997,1997-12-14,15,16,27.270,CHI,@,STL,W 13-10,,1,7,14.29,8,0,1,0.0,1,5,1.14,-5.29,5,28,5.60,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
83,80,1997,1997-12-21,16,17,27.277,CHI,@,TAM,L 15-31,,6,10,60.00,39,0,1,28.7,1,9,3.90,-0.60,4,6,1.50,1,1,1,8,1,1,0,0,0,0,,Rick Mirer,MireRi00
84,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rick Mirer,MireRi00
85,81,1998,1998-09-06,1,1,,GNB,,DET,W 38-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Rick Mirer,MireRi00
