,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
45,42,1993,1993-09-05,1,1,28.144,SDG,,SEA,W 18-12,*,13,30,43.33,123,0,2,27.5,2,14,4.10,1.10,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
46,43,1993,1993-09-12,2,2,28.151,SDG,@,DEN,L 17-34,*,28,49,57.14,298,2,1,80.1,4,16,6.08,5.98,1,4,4.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
47,44,1993,1993-09-19,3,3,28.158,SDG,,HOU,W 18-17,*,7,26,26.92,73,0,1,23.6,1,10,2.81,1.08,1,5,5.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
48,45,1993,1993-10-03,4,5,28.172,SDG,@,SEA,L 14-31,*,12,27,44.44,141,0,2,30.0,2,16,5.22,1.89,1,-1,-1.00,0,,0,0,,0,0.0%,,0,0,1,,0,1,0,0,,Stan Humphries,HumpSt00
49,46,1993,1993-10-10,5,6,28.179,SDG,@,PIT,L 3-16,,2,5,40.00,20,0,0,52.1,1,8,4.00,4.00,0,0,,0,,0,0,,0,0.0%,,0,0,1,,0,0,0,0,,Stan Humphries,HumpSt00
50,47,1993,1993-10-17,6,7,,SDG,,KAN,L 14-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
51,48,1993,1993-10-31,7,9,,SDG,@,RAI,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
52,49,1993,1993-11-07,8,10,,SDG,@,MIN,W 30-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
53,50,1993,1993-11-14,9,11,,SDG,,CHI,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
54,51,1993,1993-11-21,10,12,28.221,SDG,,RAI,L 7-12,,8,12,66.67,84,1,1,79.9,2,19,7.00,4.92,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
55,52,1993,1993-11-29,11,13,28.229,SDG,@,IND,W 31-0,*,16,25,64.00,216,2,0,118.1,0,0,8.64,10.24,1,0,0.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
56,53,1993,1993-12-05,12,14,28.235,SDG,,DEN,W 13-10,*,22,39,56.41,221,0,0,72.7,2,18,5.67,5.67,1,0,0.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
57,54,1993,1993-12-12,13,15,28.242,SDG,,GNB,L 13-20,*,27,51,52.94,257,1,3,49.2,3,32,5.04,2.78,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
58,55,1993,1993-12-19,14,16,28.249,SDG,@,KAN,L 24-28,*,1,1,100.00,28,1,0,158.3,0,0,28.00,48.00,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
59,56,1993,1993-12-27,15,17,28.257,SDG,,MIA,W 45-20,*,19,29,65.52,248,3,0,126.8,1,9,8.55,10.62,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
60,57,1993,1994-01-02,16,18,28.263,SDG,@,TAM,W 32-17,*,18,30,60.00,272,2,0,112.1,0,0,9.07,10.40,3,29,9.67,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
61,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
62,58,1994,1994-09-04,1,1,29.143,SDG,@,DEN,W 37-34,*,12,22,54.55,232,3,0,131.1,0,0,10.55,13.27,4,-1,-0.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
63,59,1994,1994-09-11,2,2,29.150,SDG,,CIN,W 27-10,*,18,29,62.07,299,2,0,119.8,0,0,10.31,11.69,1,8,8.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
64,60,1994,1994-09-18,3,3,29.157,SDG,@,SEA,W 24-10,*,19,29,65.52,262,1,0,105.8,2,11,9.03,9.72,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,Stan Humphries,HumpSt00
65,61,1994,1994-09-25,4,4,29.164,SDG,@,RAI,W 26-24,*,18,26,69.23,191,0,2,58.3,2,12,7.35,3.88,4,7,1.75,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-4,0,,Stan Humphries,HumpSt00
66,62,1994,1994-10-09,5,6,29.178,SDG,,KAN,W 20-6,*,16,25,64.00,171,1,0,97.2,0,0,6.84,7.64,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
67,63,1994,1994-10-16,6,7,29.185,SDG,@,NOR,W 36-22,*,17,29,58.62,186,0,0,77.7,1,6,6.41,6.41,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
68,64,1994,1994-10-23,7,8,29.192,SDG,,DEN,L 15-20,*,17,33,51.52,142,0,3,25.1,1,7,4.30,0.21,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
69,65,1994,1994-10-30,8,9,29.199,SDG,,SEA,W 35-15,*,7,17,41.18,86,0,0,57.5,2,24,5.06,5.06,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
70,66,1994,1994-11-06,9,10,,SDG,@,ATL,L 9-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
71,67,1994,1994-11-13,10,11,29.213,SDG,@,KAN,W 14-13,*,21,36,58.33,206,2,1,81.5,2,19,5.72,5.58,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-2,0,,Stan Humphries,HumpSt00
72,68,1994,1994-11-20,11,12,29.220,SDG,@,NWE,L 17-23,*,20,37,54.05,219,1,3,47.0,5,50,5.92,2.81,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-2,0,,Stan Humphries,HumpSt00
73,69,1994,1994-11-27,12,13,29.227,SDG,,RAM,W 31-17,*,17,33,51.52,147,1,1,61.0,2,18,4.45,3.70,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
74,70,1994,1994-12-05,13,14,29.235,SDG,,RAI,L 17-24,*,17,33,51.52,202,1,0,80.6,2,22,6.12,6.73,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
75,71,1994,1994-12-11,14,15,29.241,SDG,,SFO,L 15-38,*,25,43,58.14,337,1,2,71.6,2,15,7.84,6.21,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-1,0,,Stan Humphries,HumpSt00
76,72,1994,1994-12-18,15,16,29.248,SDG,@,NYJ,W 21-6,*,19,26,73.08,280,3,0,146.3,3,29,10.77,13.08,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
77,73,1994,1994-12-24,16,17,29.254,SDG,,PIT,W 37-34,*,21,35,60.00,249,1,0,91.2,1,10,7.11,7.69,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
78,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
79,74,1995,1995-09-03,1,1,30.142,SDG,@,OAK,L 7-17,*,23,47,48.94,305,1,1,68.1,1,11,6.49,5.96,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-3,0,,Stan Humphries,HumpSt00
