,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Tarvaris Jackson,JackTa00
51,49,2009,2009-09-13,1,1,26.145,MIN,@,CLE,W 34-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
52,50,2009,2009-09-20,2,2,26.152,MIN,@,DET,W 27-13,,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,3,-3,-1.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
53,51,2009,2009-09-27,3,3,,MIN,,SFO,W 27-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
54,52,2009,2009-10-05,4,4,,MIN,,GNB,W 30-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
55,53,2009,2009-10-11,5,5,26.173,MIN,@,STL,W 38-10,,3,3,100.00,68,0,0,118.7,0,0,22.67,22.67,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
56,54,2009,2009-10-18,6,6,,MIN,,BAL,W 33-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
57,55,2009,2009-10-25,7,7,,MIN,@,PIT,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
58,56,2009,2009-11-01,8,8,,MIN,@,GNB,W 38-26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Tarvaris Jackson,JackTa00
59,57,2009,2009-11-15,9,10,26.208,MIN,,DET,W 27-10,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,3,-3,-1.00,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
60,58,2009,2009-11-22,10,11,26.215,MIN,,SEA,W 35-9,,6,8,75.00,77,1,0,144.3,0,0,9.63,12.13,2,5,2.50,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
61,59,2009,2009-11-29,11,12,26.222,MIN,,CHI,W 36-10,,0,0,,0,0,0,,0,,,,3,-4,-1.33,0,,0,0,0,,0,0,0,0,,,,,,,,Tarvaris Jackson,JackTa00
