,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
17,17,1949,1949-11-20,9,9,22.336,NYY,@,PHI,L 0-42,,5,14,35.71,35,0,2,4.8,,,2.50,-3.93,3,28,9.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
18,18,1949,1949-11-27,10,10,22.343,NYY,@,RAM,L 20-42,,8,15,53.33,128,1,1,76.5,,,8.53,6.87,5,25,5.00,1,,,,,,,1,6,Bobby Layne,LaynBo00
19,19,1949,1949-12-04,11,11,22.350,NYY,@,DET,L 27-28,,25,40,62.50,223,3,2,81.6,,,5.58,4.83,4,24,6.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
20,20,1949,1949-12-11,12,12,22.357,NYY,,PIT,L 0-27,,16,34,47.06,140,0,3,21.7,,,4.12,0.15,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Bobby Layne,LaynBo00
22,21,1950,1950-09-17,1,1,23.272,DET,@,GNB,W 45-7,*,10,18,55.56,232,1,1,95.8,,31,12.89,11.50,5,-1,-0.20,0,,,,,,,0,0,Bobby Layne,LaynBo00
23,22,1950,1950-09-24,2,2,23.279,DET,,PIT,W 10-7,*,10,24,41.67,78,1,2,29.5,,73,3.25,0.33,15,118,7.87,0,,,,,,,0,0,Bobby Layne,LaynBo00
24,23,1950,1950-09-29,3,3,23.284,DET,@,NYY,L 21-44,*,10,30,33.33,118,0,2,18.5,,27,3.93,0.93,2,9,4.50,0,,,,,,,0,0,Bobby Layne,LaynBo00
25,24,1950,1950-10-08,4,4,23.293,DET,,SFO,W 24-7,*,15,32,46.88,205,2,0,88.7,,9,6.41,7.66,6,0,0.00,1,,,,,,,1,6,Bobby Layne,LaynBo00
26,25,1950,1950-10-15,5,5,23.300,DET,,RAM,L 28-30,*,13,32,40.63,205,2,2,57.4,,,6.41,4.84,2,2,1.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
