,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
117,109,1962,1962-10-21,6,6,32.287,DAL,@,PIT,W 42-27,,9,15,60.00,158,5,2,96.0,,,10.53,11.20,1,3,3.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
118,110,1962,1962-10-28,7,7,32.294,DAL,,STL,L 24-28,*,8,15,53.33,105,0,1,47.9,2,13,7.00,4.00,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
119,111,1962,1962-11-04,8,8,32.301,DAL,@,WAS,W 38-10,,6,12,50.00,88,2,1,79.2,,,7.33,6.92,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
120,112,1962,1962-11-11,9,9,32.308,DAL,,NYG,L 10-41,*,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
121,113,1962,1962-12-02,12,12,32.329,DAL,,CLE,W 45-21,*,6,8,75.00,53,1,1,92.2,1,11,6.63,3.50,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
122,114,1962,1962-12-09,13,13,32.336,DAL,@,STL,L 20-52,,9,19,47.37,161,1,1,72.5,2,19,8.47,7.16,2,-3,-1.50,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
123,115,1962,1962-12-16,14,14,32.343,DAL,@,NYG,L 31-41,,6,19,31.58,84,1,1,42.4,4,35,4.42,3.11,1,-1,-1.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
124,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Eddie LeBaron,LeBaEd00
125,116,1963,1963-09-14,1,1,33.250,DAL,,STL,L 7-34,,2,6,33.33,19,0,0,43.1,0,0,3.17,3.17,1,1,1.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
126,117,1963,1963-09-22,2,2,33.258,DAL,,CLE,L 24-41,,9,13,69.23,132,1,1,95.7,2,11,10.15,8.23,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
127,118,1963,1963-10-06,4,4,33.272,DAL,@,PHI,L 21-24,,4,8,50.00,23,0,0,56.2,1,15,2.88,2.88,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
128,119,1963,1963-10-13,5,5,33.279,DAL,,DET,W 17-14,,3,5,60.00,16,0,1,25.8,1,8,3.20,-5.80,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
129,120,1963,1963-10-20,6,6,33.286,DAL,@,NYG,L 21-37,*,14,21,66.67,196,2,0,128.3,5,39,9.33,11.24,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
130,121,1963,1963-10-27,7,7,33.293,DAL,@,PIT,L 21-27,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
131,122,1963,1963-11-17,10,10,33.314,DAL,,PHI,W 27-20,,,,,,,,,0,0,,,1,4,4.00,0,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
132,123,1963,1963-11-24,11,11,33.321,DAL,@,CLE,L 17-27,,0,5,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
133,124,1963,1963-12-08,13,13,33.335,DAL,,PIT,L 19-24,*,1,6,16.67,32,0,0,49.3,0,0,5.33,5.33,,,,,0,0,0,0,,0,Eddie LeBaron,LeBaEd00
134,,,124 Games,,,,,,,46-73-5,,897,1796,49.94,13399,104,141,61.4,59,1254,7.46,5.09,198,633,3.20,9,9,54,3,99,33.00,0,Eddie LeBaron,LeBaEd00
