,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 39_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,,
56,54,2005,2005-10-23,6,7,,DET,@,CLE,W 13-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
57,55,2005,2005-10-30,7,8,,DET,,CHI,L 13-19,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
58,56,2005,2005-11-06,8,9,27.016,DET,@,MIN,L 14-27,*,28,48,58.33,263,1,2,63.1,4,32,5.48,4.02,4,17,4.25,0,0,0,0,,0,0.0%,,1,1,0,0,0,0,,Joey Harrington,HarrJo00
59,57,2005,2005-11-13,9,10,27.023,DET,,ARI,W 29-21,*,21,31,67.74,231,3,0,121.8,1,5,7.45,9.39,4,13,3.25,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
60,58,2005,2005-11-20,10,11,27.030,DET,@,DAL,L 7-20,*,17,25,68.00,169,0,0,86.9,1,0,6.76,6.76,1,5,5.00,0,0,0,0,,0,0.0%,,1,1,0,0,0,0,,Joey Harrington,HarrJo00
61,59,2005,2005-11-24,11,12,27.034,DET,,ATL,L 7-27,*,6,13,46.15,61,0,1,28.0,2,16,4.69,1.23,0,0,,0,0,0,0,,0,0.0%,,1,0,0,1,0,0,,Joey Harrington,HarrJo00
62,60,2005,2005-12-04,12,13,,DET,,MIN,L 16-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
63,61,2005,2005-12-11,13,14,,DET,@,GNB,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
64,62,2005,2005-12-18,14,15,27.058,DET,,CIN,L 17-41,,6,7,85.71,77,1,0,152.1,0,0,11.00,13.86,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
65,63,2005,2005-12-24,15,16,27.064,DET,@,NOR,W 13-12,*,17,30,56.67,210,0,1,64.6,1,2,7.00,5.50,0,0,,0,1,1,-4,-4.00,0,100.0%,-4.00,0,,0,0,0,0,,Joey Harrington,HarrJo00
66,64,2005,2006-01-01,16,17,27.072,DET,@,PIT,L 21-35,*,17,33,51.52,212,3,0,102.1,1,9,6.42,8.24,2,11,5.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
67,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
68,65,2006,2006-09-07,1,1,,MIA,@,PIT,L 17-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
69,66,2006,2006-09-17,2,2,,MIA,,BUF,L 6-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
70,67,2006,2006-09-24,3,3,,MIA,,TEN,W 13-10,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
71,68,2006,2006-10-01,4,4,,MIA,@,HOU,L 15-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Joey Harrington,HarrJo00
72,69,2006,2006-10-08,5,5,27.352,MIA,@,NWE,L 10-20,*,26,41,63.41,232,0,2,58.2,1,11,5.66,3.46,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
73,70,2006,2006-10-15,6,6,27.359,MIA,@,NYJ,L 17-20,*,27,43,62.79,266,1,2,68.6,0,0,6.19,4.56,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
