,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Punting,Punting,Punting,Punting,Unnamed: 45_level_0,qb,qb_tag
31,31,2001,2001-12-30,15,16,,NYJ,,BUF,L 9-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
32,32,2001,2002-01-06,16,17,,NYJ,@,OAK,W 24-22,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Chad Pennington,PennCh01
34,33,2002,2002-09-08,1,1,,NYJ,@,BUF,W 37-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Chad Pennington,PennCh01
35,34,2002,2002-09-15,2,2,26.081,NYJ,,NWE,L 7-44,,3,10,30.00,39,0,0,43.3,2,4,3.90,3.90,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
36,35,2002,2002-09-22,3,3,26.088,NYJ,@,MIA,L 3-30,,2,3,66.67,32,0,1,62.5,1,8,10.67,-4.33,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
37,36,2002,2002-09-29,4,4,26.095,NYJ,@,JAX,L 3-28,,21,34,61.76,281,0,1,75.7,1,4,8.26,6.94,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
38,37,2002,2002-10-06,5,5,26.102,NYJ,,KAN,L 25-29,*,22,29,75.86,237,2,1,108.0,3,25,8.17,8.00,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
39,38,2002,2002-10-20,6,7,26.116,NYJ,,MIN,W 20-7,*,24,29,82.76,324,1,0,124.7,2,8,11.17,11.86,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
40,39,2002,2002-10-27,7,8,26.123,NYJ,,CLE,L 21-24,*,19,26,73.08,183,2,1,101.9,1,8,7.04,6.85,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
41,40,2002,2002-11-03,8,9,26.130,NYJ,@,SDG,W 44-13,*,28,37,75.68,253,1,0,102.6,2,5,6.84,7.38,3,21,7.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
42,41,2002,2002-11-10,9,10,26.137,NYJ,,MIA,W 13-10,*,17,27,62.96,167,0,0,80.3,1,0,6.19,6.19,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
43,42,2002,2002-11-17,10,11,26.144,NYJ,@,DET,W 31-14,*,21,26,80.77,229,4,1,126.9,1,10,8.81,10.15,5,1,0.20,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
44,43,2002,2002-11-24,11,12,26.151,NYJ,,BUF,W 31-13,*,15,24,62.50,178,1,0,99.0,1,8,7.42,8.25,2,4,2.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
45,44,2002,2002-12-02,12,13,26.159,NYJ,@,OAK,L 20-26,*,22,34,64.71,265,2,1,95.8,2,19,7.79,7.65,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
46,45,2002,2002-12-08,13,14,26.165,NYJ,,DEN,W 19-13,*,19,30,63.33,244,1,0,99.9,3,27,8.13,8.80,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
47,46,2002,2002-12-15,14,15,26.172,NYJ,@,CHI,L 13-20,*,22,33,66.67,207,1,0,93.9,1,7,6.27,6.88,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,0,0,,0,,Chad Pennington,PennCh01
48,47,2002,2002-12-22,15,16,26.179,NYJ,@,NWE,W 30-17,*,23,33,69.70,285,3,0,126.5,0,0,8.64,10.45,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
49,48,2002,2002-12-29,16,17,26.186,NYJ,,GNB,W 42-17,*,17,24,70.83,196,4,0,134.7,1,2,8.17,11.50,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Status,Chad Pennington,PennCh01
51,49,2003,2003-09-04,1,1,,NYJ,@,WAS,L 13-16,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
52,50,2003,2003-09-14,2,2,,NYJ,,MIA,L 10-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
53,51,2003,2003-09-21,3,3,,NYJ,@,NWE,L 16-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
54,52,2003,2003-09-28,4,4,,NYJ,,DAL,L 6-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
55,53,2003,2003-10-12,5,6,,NYJ,,BUF,W 30-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
56,54,2003,2003-10-19,6,7,,NYJ,@,HOU,W 19-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Chad Pennington,PennCh01
57,55,2003,2003-10-26,7,8,27.122,NYJ,@,PHI,L 17-24,,14,24,58.33,154,0,1,60.1,2,14,6.42,4.54,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
58,56,2003,2003-11-02,8,9,27.129,NYJ,,NYG,L 28-31,*,27,45,60.00,281,4,2,89.2,3,21,6.24,6.02,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
59,57,2003,2003-11-09,9,10,27.136,NYJ,@,OAK,W 27-24,*,18,27,66.67,269,2,0,123.8,0,0,9.96,11.44,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,3,-1,0,0,0,,0,,Chad Pennington,PennCh01
60,58,2003,2003-11-16,10,11,27.143,NYJ,@,IND,L 31-38,*,11,14,78.57,219,3,0,158.3,3,27,15.64,19.93,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
61,59,2003,2003-11-23,11,12,27.150,NYJ,,JAX,W 13-10,*,25,39,64.10,236,1,1,78.6,2,15,6.05,5.41,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
62,60,2003,2003-12-01,12,13,27.158,NYJ,,TEN,W 24-17,*,18,23,78.26,231,2,2,101.3,2,8,10.04,7.87,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,0,0,,0,,Chad Pennington,PennCh01
