,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
46,45,2009,2009-12-13,13,14,25.126,CAR,@,NWE,L 10-20,*,15,30,50.00,197,1,0,82.2,2,18,6.57,7.23,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
47,46,2009,2009-12-20,14,15,25.133,CAR,,MIN,W 26-7,*,21,33,63.64,299,3,0,123.2,2,26,9.06,10.88,5,-2,-0.40,0,0,0,2,0,0,1,-2,0,,,,,,,,Matt Moore,MoorMa01
48,47,2009,2009-12-27,15,16,25.140,CAR,@,NYG,W 41-9,*,15,20,75.00,171,3,0,139.8,1,2,8.55,11.55,4,2,0.50,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
49,48,2009,2010-01-03,16,17,25.147,CAR,,NOR,W 23-10,*,14,23,60.87,162,1,0,96.6,2,13,7.04,7.91,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Matt Moore,MoorMa01
51,49,2010,2010-09-12,1,1,26.034,CAR,@,NYG,L 18-31,*,14,33,42.42,182,1,3,32.6,4,34,5.52,2.03,2,15,7.50,0,0,0,2,1,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
52,50,2010,2010-09-19,2,2,26.041,CAR,,TAM,L 7-20,*,6,16,37.50,125,1,1,60.7,4,25,7.81,6.25,1,2,2.00,0,0,0,1,1,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
53,51,2010,2010-09-26,3,3,,CAR,,CIN,L 7-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Moore,MoorMa01
54,52,2010,2010-10-03,4,4,,CAR,@,NOR,L 14-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Matt Moore,MoorMa01
55,53,2010,2010-10-10,5,5,26.062,CAR,,CHI,L 6-23,,5,10,50.00,35,0,2,18.7,0,0,3.50,-5.50,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
56,54,2010,2010-10-24,6,7,26.076,CAR,,SFO,W 23-20,*,28,41,68.29,308,2,1,96.4,1,5,7.51,7.39,1,3,3.00,0,0,0,0,,0,0,0,0,,,,,,,,Matt Moore,MoorMa01
